Date,sst,region
2012-01-01,27.599216727756936,pipa
2012-01-02,27.599316886518434,pipa
2012-01-03,27.658357659694314,pipa
2012-01-04,27.682693019614717,pipa
2012-01-05,27.69120724596329,pipa
2012-01-06,27.705604720411454,pipa
2012-01-07,27.727984314069793,pipa
2012-01-08,27.688026601698823,pipa
2012-01-09,27.679770637167778,pipa
2012-01-10,27.83241500406047,pipa
2012-01-11,27.75812727259427,pipa
2012-01-12,27.690552299847067,pipa
2012-01-13,27.626093296167056,pipa
2012-01-14,27.68641155081468,pipa
2012-01-15,27.664323507678365,pipa
2012-01-16,27.786454277415622,pipa
2012-01-17,27.757245743801377,pipa
2012-01-18,27.772511065750706,pipa
2012-01-19,27.794639421142314,pipa
2012-01-20,27.813095703196442,pipa
2012-01-21,27.678150830754365,pipa
2012-01-22,27.628166926391703,pipa
2012-01-23,27.67101534206886,pipa
2012-01-24,27.61490302378497,pipa
2012-01-25,27.553025540849998,pipa
2012-01-26,27.530590124594873,pipa
2012-01-27,27.43600996466278,pipa
2012-01-28,27.185248933664,pipa
2012-01-29,27.294848298617975,pipa
2012-01-30,27.361476408916996,pipa
2012-01-31,27.352020953593374,pipa
2012-02-01,27.397445402866506,pipa
2012-02-02,27.525738094715503,pipa
2012-02-03,27.76063585083734,pipa
2012-02-04,27.84281768764223,pipa
2012-02-05,27.829649334591743,pipa
2012-02-06,27.848767439988865,pipa
2012-02-07,27.71037180922281,pipa
2012-02-08,27.726703613470598,pipa
2012-02-09,27.799203339113134,pipa
2012-02-10,27.82372379886309,pipa
2012-02-11,27.846547997922205,pipa
2012-02-12,27.85056056715174,pipa
2012-02-13,27.949941763057584,pipa
2012-02-14,27.98033881316622,pipa
2012-02-15,28.0065990649898,pipa
2012-02-16,27.9225017741782,pipa
2012-02-17,27.795072320625096,pipa
2012-02-18,27.675370455726064,pipa
2012-02-19,27.679054454467664,pipa
2012-02-20,27.689123299898334,pipa
2012-02-21,27.656237571607303,pipa
2012-02-22,27.572282215052347,pipa
2012-02-23,27.6759436067397,pipa
2012-02-24,27.794379183951207,pipa
2012-02-25,27.858930664384026,pipa
2012-02-26,27.79439849871603,pipa
2012-02-27,27.936050496404096,pipa
2012-02-28,27.813940504671407,pipa
2012-02-29,27.77353291923653,pipa
2012-03-01,27.748785730485885,pipa
2012-03-02,27.725017961268062,pipa
2012-03-03,27.653778304544073,pipa
2012-03-04,27.62851056824918,pipa
2012-03-05,27.62972322819955,pipa
2012-03-06,27.625120022241266,pipa
2012-03-07,27.53547529685475,pipa
2012-03-08,27.59010103670539,pipa
2012-03-09,27.888799192291668,pipa
2012-03-10,27.977659109033297,pipa
2012-03-11,27.964381598296793,pipa
2012-03-12,27.92471843608936,pipa
2012-03-13,27.992853171206406,pipa
2012-03-14,28.136490638923636,pipa
2012-03-15,28.227368070645237,pipa
2012-03-16,28.06632046413965,pipa
2012-03-17,27.841575397086714,pipa
2012-03-18,27.98006335828159,pipa
2012-03-19,28.109265526802865,pipa
2012-03-20,28.043198203141607,pipa
2012-03-21,28.107329221629602,pipa
2012-03-22,28.41887367119542,pipa
2012-03-23,28.44546688322615,pipa
2012-03-24,28.272919016995527,pipa
2012-03-25,28.190901575177595,pipa
2012-03-26,28.103051220707744,pipa
2012-03-27,28.040702720894334,pipa
2012-03-28,28.114631226999713,pipa
2012-03-29,28.046680786930352,pipa
2012-03-30,28.021567568753966,pipa
2012-03-31,28.017560047701615,pipa
2012-04-01,28.10287819260628,pipa
2012-04-02,28.06416116122709,pipa
2012-04-03,28.0595054981234,pipa
2012-04-04,28.162924211496687,pipa
2012-04-05,28.19116839694767,pipa
2012-04-06,28.256856302539443,pipa
2012-04-07,28.237632112259757,pipa
2012-04-08,28.317514101973185,pipa
2012-04-09,28.26928257354608,pipa
2012-04-10,28.25771639486989,pipa
2012-04-11,28.27405024765331,pipa
2012-04-12,28.319433945699153,pipa
2012-04-13,28.311552716870427,pipa
2012-04-14,28.140468529370903,pipa
2012-04-15,28.077224673148827,pipa
2012-04-16,28.259374684488908,pipa
2012-04-17,28.35354074756919,pipa
2012-04-18,28.298081765837743,pipa
2012-04-19,28.343466488151407,pipa
2012-04-20,28.39728590973273,pipa
2012-04-21,28.407134757065624,pipa
2012-04-22,28.42795797575412,pipa
2012-04-23,28.360660140617345,pipa
2012-04-24,28.14793551502382,pipa
2012-04-25,28.259118690693057,pipa
2012-04-26,28.442388738906835,pipa
2012-04-27,28.47724098827214,pipa
2012-04-28,28.51963053196081,pipa
2012-04-29,28.478538223480612,pipa
2012-04-30,28.518522201005258,pipa
2012-05-01,28.80247909396194,pipa
2012-05-02,28.810430924109074,pipa
2012-05-03,28.519531397467116,pipa
2012-05-04,28.335324802645555,pipa
2012-05-05,28.409300059261234,pipa
2012-05-06,28.654992574058213,pipa
2012-05-07,28.719750078649138,pipa
2012-05-08,28.735280320156868,pipa
2012-05-09,28.714286121902486,pipa
2012-05-10,28.582748769049534,pipa
2012-05-11,28.57897851232414,pipa
2012-05-12,28.48666125267956,pipa
2012-05-13,28.64349750883433,pipa
2012-05-14,28.379622264656174,pipa
2012-05-15,28.397983436125934,pipa
2012-05-16,28.65878909593736,pipa
2012-05-17,28.785654251077293,pipa
2012-05-18,28.77046311538378,pipa
2012-05-19,28.569399340078906,pipa
2012-05-20,28.71297081568301,pipa
2012-05-21,28.934239225068218,pipa
2012-05-22,28.872640708793348,pipa
2012-05-23,28.942050803684445,pipa
2012-05-24,28.935033252123493,pipa
2012-05-25,28.89020499989025,pipa
2012-05-26,29.006295003767853,pipa
